timestamp,exchange,period,instrument,base,quote,price
2022-11-05 20:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1632.9447831826
2022-11-05 20:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1631.36891923709
2022-11-05 20:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1631.22483640531
2022-11-05 21:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1630.27555747046
2022-11-05 21:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1631.43700546554
2022-11-05 21:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1629.94744206387
2022-11-05 21:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1632.46566176153
2022-11-05 22:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1632.19672094763
2022-11-05 22:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1631.19690283793
2022-11-05 22:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1632.6945236812
2022-11-05 22:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1631.95776560481
2022-11-05 23:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1632.18582777939
2022-11-05 23:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1626.44774027243
2022-11-05 23:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1627.57764724833
2022-11-05 23:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1625.59722001522
2022-11-06 00:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1627.56787147257
2022-11-06 00:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1626.11242296842
2022-11-06 00:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1623.40525973187
2022-11-06 00:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1629.55912973379
2022-11-06 01:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1630.58798118978
2022-11-06 01:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1630.90177789459
2022-11-06 01:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1627.7830366644
2022-11-06 01:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1628.908622687
2022-11-06 02:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1619.37050370375
2022-11-06 02:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1617.45059786639
2022-11-06 02:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1617.42748852802
2022-11-06 02:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1619.03622821864
2022-11-06 03:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1616.64175072549
2022-11-06 03:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1616.65668549468
2022-11-06 03:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1617.23389011143
2022-11-06 03:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1620.94076007014
2022-11-06 04:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1620.15005146605
2022-11-06 04:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1621.20861172446
2022-11-06 04:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1618.89048676757
2022-11-06 04:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1621.11254240698
2022-11-06 05:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1619.55719753737
